ccaa	curso	poblacion	PBAU.aptos	oferta	ratio	dif
Andalucía	2015	86244	45044	52788	0.5222856082741988	7744
Andalucía	2016	86824	47599	52244	0.5482239933658896	4645
Andalucía	2017	86824	42646	51384	0.49117755459320006	8738
Andalucía	2018	89097	45057	51606	0.5057072628708037	6549
Andalucía	2019	90644	45181	51347	0.4984444640571908	6166
Andalucía	2020	91175	52156	50712	0.5720427748834659	-1444
Andalucía	2021	91097	52361	50624	0.5747829236967189	-1737
Andalucía	2022	94610	51778	50168	0.5472783003910792	-1610
Aragón	2015	11684	6363	6572	0.5445908935296131	209
Aragón	2016	11640	6376	6552	0.547766323024055	176
Aragón	2017	11596	6109	6536	0.5268195929630907	427
Aragón	2018	11906	6475	6543	0.5438434402822107	68
Aragón	2019	12314	6643	6514	0.5394672730225759	-129
Aragón	2020	12891	7214	6517	0.5596152354355752	-697
Aragón	2021	12793	7261	6560	0.5675760181349175	-701
Aragón	2022	13152	7206	6550	0.5479014598540146	-656
Asturias, Principado de	2015	7365	3555	NA	0.48268839103869654	NA
Asturias, Principado de	2016	7401	3999	5005	0.5403323875152006	1006
Asturias, Principado de	2017	7331	4084	4934	0.5570863456554358	850
Asturias, Principado de	2018	7577	4301	5276	0.5676389072192161	975
Asturias, Principado de	2019	7771	4395	5359	0.5655642774417707	964
Asturias, Principado de	2020	7879	5064	5353	0.6427211575072979	289
Asturias, Principado de	2021	7717	5199	4873	0.6737073992484126	-326
Asturias, Principado de	2022	8010	4999	4871	0.6240948813982522	-128
Balears, Illes	2015	10220	4020	3475	0.3933463796477495	-545
Balears, Illes	2016	10498	4302	3420	0.40979234139836157	-882
Balears, Illes	2017	10651	3794	3335	0.3562106844427753	-459
Balears, Illes	2018	11032	4213	3425	0.38188905003625817	-788
Balears, Illes	2019	11589	4379	3405	0.3778583139183709	-974
Balears, Illes	2020	11807	5166	3420	0.4375370542898281	-1746
Balears, Illes	2021	12029	5152	3335	0.42829827915869984	-1817
Balears, Illes	2022	12240	4863	3377	0.3973039215686274	-1486
Canarias	2015	20885	10368	10314	0.49643284654057934	-54
Canarias	2016	20789	10785	10319	0.5187839722930396	-466
Canarias	2017	20990	10459	NA	0.49828489757027156	NA
Canarias	2018	22556	10536	NA	0.4671040964710055	NA
Canarias	2019	22849	10618	NA	0.464703050461727	NA
Canarias	2020	23202	11335	NA	0.48853547108007933	NA
Canarias	2021	22924	11646	NA	0.5080265224219159	NA
Canarias	2022	23292	11647	NA	0.5000429331959471	NA
Cantabria	2015	4681	2501	2552	0.5342875453962829	51
Cantabria	2016	4674	2578	2547	0.5515618314077878	-31
Cantabria	2017	4629	2422	2547	0.5232231583495356	125
Cantabria	2018	4892	2738	2552	0.5596892886345053	-186
Cantabria	2019	5211	2725	2612	0.522932258683554	-113
Cantabria	2020	5175	3127	2353	0.6042512077294686	-774
Cantabria	2021	5393	3175	2361	0.5887261264602263	-814
Cantabria	2022	5675	3133	2361	0.5520704845814978	-772
Castilla - La Mancha	2015	20675	8467	5985	0.4095284159613059	-2482
Castilla - La Mancha	2016	20609	8838	5992	0.42884176815954195	-2846
Castilla - La Mancha	2017	20539	8083	5939	0.3935439894834218	-2144
Castilla - La Mancha	2018	20917	8769	5844	0.41922837883061626	-2925
Castilla - La Mancha	2019	21346	8461	6166	0.39637402792092197	-2295
Castilla - La Mancha	2020	21081	9393	6212	0.4455670983349936	-3181
Castilla - La Mancha	2021	21208	9145	6243	0.43120520558279896	-2902
Castilla - La Mancha	2022	22018	9289	6235	0.4218820964665274	-3054
Castilla y León	2015	20263	11346	16455	0.5599368306766027	5109
Castilla y León	2016	20417	11494	15784	0.562962237351227	4290
Castilla y León	2017	19735	10056	15938	0.5095515581454269	5882
Castilla y León	2018	20212	11522	16124	0.5700573916485256	4602
Castilla y León	2019	20823	11253	15475	0.5404120443740095	4222
Castilla y León	2020	20516	12607	16045	0.6144960031195165	3438
Castilla y León	2021	20629	12495	16347	0.6057007125890737	3852
Castilla y León	2022	21068	12193	16518	0.578745016138219	4325
Cataluña	2015	67162	32169	37554	0.47897620678359787	5385
Cataluña	2016	69292	32599	37494	0.4704583501702938	4895
Cataluña	2017	69269	32231	37541	0.4653019388182304	5310
Cataluña	2018	73049	34676	37663	0.4746950676942874	2987
Cataluña	2019	77222	35260	37843	0.4566056305198001	2583
Cataluña	2020	78628	39423	37908	0.5013862746095539	-1515
Cataluña	2021	80093	40175	37773	0.5016043849025508	-2402
Cataluña	2022	83508	40781	38550	0.48834842170809983	-2231
Comunitat Valenciana	2015	45630	22114	25600	0.4846373000219154	3486
Comunitat Valenciana	2016	46044	23039	25540	0.5003692120580314	2501
Comunitat Valenciana	2017	46148	22143	24870	0.47982577793187137	2727
Comunitat Valenciana	2018	48025	22850	25240	0.47579385736595525	2390
Comunitat Valenciana	2019	49586	22548	25578	0.4547251240269431	3030
Comunitat Valenciana	2020	50696	23728	25503	0.4680448161590658	1775
Comunitat Valenciana	2021	50754	26158	25863	0.5153879497182489	-295
Comunitat Valenciana	2022	53689	25216	26535	0.46966790217735477	1319
Extremadura	2015	11170	5901	5775	0.5282900626678604	-126
Extremadura	2016	10914	5992	5690	0.5490196078431373	-302
Extremadura	2017	10779	5212	5350	0.4835327952500232	138
Extremadura	2018	10877	5602	5350	0.5150317183046796	-252
Extremadura	2019	10945	5665	5305	0.5175879396984925	-360
Extremadura	2020	10793	6133	5259	0.5682386732141202	-874
Extremadura	2021	10628	6104	5194	0.5743319533308242	-910
Extremadura	2022	10733	5848	5227	0.5448616416658902	-621
Galicia	2015	20662	11297	11577	0.546752492498306	280
Galicia	2016	20784	11945	11540	0.5747209391839877	-405
Galicia	2017	20803	10987	11459	0.5281449790895544	472
Galicia	2018	21264	11562	11411	0.5437358916478555	-151
Galicia	2019	21994	12215	11262	0.5553787396562699	-953
Galicia	2020	21989	13817	11424	0.6283596343626359	-2393
Galicia	2021	21760	14065	11519	0.6463694852941176	-2546
Galicia	2022	22855	13273	11693	0.5807481951432947	-1580
Madrid, Comunidad de	2015	56775	32132	43688	0.5659533245266403	11556
Madrid, Comunidad de	2016	58084	33684	44725	0.5799187383788995	11041
Madrid, Comunidad de	2017	58499	31622	45602	0.5405562488247663	13980
Madrid, Comunidad de	2018	61831	34426	45065	0.5567757273859391	10639
Madrid, Comunidad de	2019	64965	35617	44607	0.5482490571846379	8990
Madrid, Comunidad de	2020	67384	40378	44164	0.5992223673275555	3786
Madrid, Comunidad de	2021	68414	40075	42005	0.5857719180284737	1930
Madrid, Comunidad de	2022	71454	40283	NA	0.5637613009768523	NA
Murcia, Región de	2015	15538	7773	7908	0.5002574333891106	135
Murcia, Región de	2016	15898	8176	7835	0.5142785256007045	-341
Murcia, Región de	2017	15820	7526	7929	0.4757269279393173	403
Murcia, Región de	2018	15940	7788	8204	0.48858218318695107	416
Murcia, Región de	2019	16795	8174	8083	0.4866924679964275	-91
Murcia, Región de	2020	17274	9300	7986	0.5383813824244529	-1314
Murcia, Región de	2021	17354	9293	7951	0.5354961392186239	-1342
Murcia, Región de	2022	18034	9082	8021	0.5036043029832539	-1061
Navarra, Comunidad Foral de	2015	6151	3141	1755	0.5106486750121931	-1386
Navarra, Comunidad Foral de	2016	6250	3202	1755	0.51232	-1447
Navarra, Comunidad Foral de	2017	6297	3139	1720	0.49849134508496107	-1419
Navarra, Comunidad Foral de	2018	6509	3233	1805	0.49669688124135813	-1428
Navarra, Comunidad Foral de	2019	6803	3460	2005	0.5085991474349552	-1455
Navarra, Comunidad Foral de	2020	6964	3853	2020	0.5532739804709936	-1833
Navarra, Comunidad Foral de	2021	6909	4068	2045	0.588797221016066	-2023
Navarra, Comunidad Foral de	2022	7398	3848	2093	0.5201405785347392	-1755
País Vasco	2015	17511	11759	8694	0.6715207583804466	-3065
País Vasco	2016	17979	11974	8634	0.6659992213137549	-3340
País Vasco	2017	17949	12000	8714	0.6685609226140732	-3286
País Vasco	2018	19229	12663	8649	0.6585365853658537	-4014
País Vasco	2019	19783	12798	8528	0.6469190719304453	-4270
País Vasco	2020	20360	13525	8528	0.6642927308447937	-4997
País Vasco	2021	20637	14315	8520	0.6936570237922178	-5795
País Vasco	2022	21750	13522	8505	0.6217011494252873	-5017
Rioja, La	2015	2736	1396	1000	0.5102339181286549	-396
Rioja, La	2016	2891	1458	1000	0.5043237634036666	-458
Rioja, La	2017	2880	1350	1000	0.46875	-350
Rioja, La	2018	2940	1442	1000	0.49047619047619045	-442
Rioja, La	2019	2990	1412	1000	0.47224080267558527	-412
Rioja, La	2020	3000	1542	1000	0.514	-542
Rioja, La	2021	3021	1594	1000	0.5276398543528633	-594
Rioja, La	2022	3333	1680	1000	0.504050405040504	-680
